mode,row_index,docx_render_s,word_convert_s,signature_s,delete_temp_s,total_s,kept_docx
old_docx_plus_pdf,44,0.044982300023548305,8.116101099993102,0.08049449999816716,0.0003853000234812498,8.241973800002597,True
old_docx_plus_pdf,45,0.060213400050997734,11.768024899996817,0.09494879993144423,0.0003803999861702323,11.923577800043859,True
old_docx_plus_pdf,46,0.04827560007106513,8.141994300065562,0.11212479998357594,0.0002731999848037958,8.302678200067021,True
old_docx_plus_pdf,47,0.0557071000803262,9.674222399946302,0.11216309992596507,0.0005660000024363399,9.842688500066288,True
old_docx_plus_pdf,48,0.04652819992043078,10.249715500045568,0.08861979993525892,0.00029150000773370266,10.385163599974476,True
old_docx_plus_pdf,49,0.05215259990654886,9.764122100081295,0.10764270008075982,0.0002609000075608492,9.924187399912626,True
pdf_only,0,0.048391700023785233,7.978469899971969,0.10880190005991608,0.0005267999367788434,8.1362030999735,False
pdf_only,1,0.07210200000554323,10.008436699979939,0.11309610004536808,0.0016253000358119607,10.195278100087307,False
pdf_only,2,0.052261600038036704,8.190060800057836,0.09539029991719872,0.0011556000681594014,8.338878100039437,False
pdf_only,3,0.05231359996832907,8.474490299937315,0.11295139999128878,0.0010625000577419996,8.640829799929634,False
pdf_only,4,0.04980579996481538,8.128658100031316,0.09913969994522631,0.00045229995157569647,8.278065399965271,False
pdf_only,5,0.05360600003041327,9.623983799945563,0.1091269999742508,0.0009204000234603882,9.787645300035365,False
pdf_only,6,0.04723609995562583,8.27800179994665,0.10912399995140731,0.0004997999640181661,8.434876799932681,False
pdf_only,7,0.05232150002848357,9.817713399999775,0.11920549999922514,0.000512799946591258,9.989761000033468,False
pdf_only,8,0.05115730001125485,8.142349099973217,0.10384350002277642,0.0006840000860393047,8.298040300025605,False
pdf_only,9,0.051524900016374886,12.021765000070445,0.12653640005737543,0.0005616999696940184,12.200399700086564,False
pdf_only,0,0.059875200036913157,10.129777700058185,0.11153380002360791,0.000990699976682663,10.302191899972968,False
pdf_only,1,0.05287729995325208,10.973532100091688,0.10271410003770143,0.00045279995538294315,11.12958870001603,False
pdf_only,2,0.05245970003306866,8.086225099978037,0.09246710001025349,0.0005050000036135316,8.231664799968712,False
pdf_only,3,0.053690999979153275,8.709929000004195,0.11788030003663152,0.000458399998024106,8.881963900057599,False
pdf_only,4,0.06808290001936257,9.35265320003964,0.08786510000936687,0.0006270000012591481,9.509242200059816,False
pdf_only,5,0.05015359993558377,9.65427830000408,0.10641140001825988,0.00046749995090067387,9.811316999956034,False
pdf_only,6,0.0487477999413386,9.360813400009647,0.09243750001769513,0.0004952999297529459,9.502500499947928,False
pdf_only,7,0.05489930009935051,10.199641700019129,0.12471670005470514,0.0006398999830707908,10.379904400091618,False
pdf_only,8,0.05146640003658831,9.331075499998406,0.10295690002385527,0.0005317999748513103,9.486037699971348,False
pdf_only,9,0.05444839992560446,9.865563099971041,0.11424340005032718,0.00044739991426467896,10.034708799910732,False
pdf_only,10,0.045573199982754886,10.291532100061886,0.09342560009099543,0.0004643999272957444,10.431002900004387,False
pdf_only,11,0.0500820999732241,9.47618210001383,0.15094639989547431,0.0007328999927267432,9.677953099948354,False
pdf_only,12,0.09433089999947697,9.499608700047247,0.11933800007682294,0.0009116999572142959,9.714199600042775,False
pdf_only,13,0.08807529998011887,9.45589550002478,0.15946009999606758,0.0009072000393643975,9.704348800005391,False
pdf_only,14,0.14351959992200136,9.372611699975096,0.14331950002815574,0.0008029999444261193,9.660262299934402,False
pdf_only,15,0.08697040006518364,9.573530700057745,0.13175329996738583,0.0009102999465540051,9.793174999998882,False
pdf_only,16,0.08596810000017285,8.180214799940586,0.11293830000795424,0.0007992000319063663,8.379932399955578,False
pdf_only,17,0.09784389997366816,10.766926800017245,0.14655239996500313,0.0009495000122115016,11.012282900046557,False
pdf_only,18,0.07258539996109903,10.144608399947174,0.13908829994034022,0.0007990000303834677,10.357091299956664,False
pdf_only,19,0.09826520003844053,8.682217099936679,0.1567279000300914,0.000547999981790781,8.937765900045633,False
pdf_only,20,0.09471839992329478,7.965602000011131,0.14477909996639937,0.0010224999859929085,8.206131899962202,False
pdf_only,21,0.10340779996477067,10.481303400010802,0.14850289991591126,0.0010351999662816525,10.734257399919443,False
pdf_only,22,0.08321860001888126,11.391936199972406,0.14422210003249347,0.0008027999429032207,11.62018980004359,False
pdf_only,23,0.08796089992392808,9.64314459997695,0.1378468000330031,0.0011421000817790627,9.870106199989095,False
pdf_only,24,0.0687173999613151,8.38581340003293,0.11893879994750023,0.001168200047686696,8.57464730006177,False
pdf_only,25,0.08519420004449785,8.597478899988346,0.12679299991577864,0.0005099000409245491,8.809985600062646,False
pdf_only,26,0.08335219998843968,11.95434870000463,0.13568780000787228,0.0007082000374794006,12.174105099984445,False
pdf_only,27,0.0849638000363484,9.634173300000839,0.11564829992130399,0.0009894000831991434,9.835785100003704,False
pdf_only,28,0.07033020001836121,11.889036900014617,0.21584180009085685,0.0018444000743329525,12.177082299953327,False
pdf_only,29,0.17815489997155964,13.762141500017606,0.13111819990444928,0.0007285000756382942,14.072154400055297,False
pdf_only,30,0.08387370000127703,10.174508400028571,0.12128440011292696,0.000911500072106719,10.38059030007571,False
pdf_only,31,0.12237950006965548,11.638506500050426,0.12396130000706762,0.0010994999902322888,11.885958599974401,False
pdf_only,32,0.08891739998944104,8.856585699948482,0.12236360006500036,0.0009828000329434872,9.068861000007018,False
pdf_only,33,0.07683309994172305,11.968212899984792,0.12934780004434288,0.0009126999648287892,12.17531500000041,False
pdf_only,34,0.08700099994894117,7.93949210003484,0.122002899996005,0.0008691999828442931,8.14937480003573,False
pdf_only,35,0.09578730002976954,12.493792799999937,0.1297466999385506,0.0007990000303834677,12.720134800067171,False
pdf_only,36,0.07387099997140467,8.233313899952918,0.10886639996897429,0.0007789999945089221,8.41683949995786,False
pdf_only,37,0.10269309999421239,8.779808699968271,0.15086389996577054,0.0006521999603137374,9.034027799963951,False
pdf_only,38,0.09184520004782826,9.574676599935628,0.10399950004648417,0.0008014999330043793,9.771329600014724,False
pdf_only,39,0.10318980005104095,8.802466099965386,0.16239980002865195,0.0009106999495998025,9.06897550006397,False
pdf_only,40,0.08916069997940212,11.804841700010002,0.13793630001600832,0.00042070006020367146,12.0323686999036,False
pdf_only,41,0.11099590000230819,8.73250869999174,0.14298569993115962,0.001018799957819283,8.987517899950035,False
pdf_only,42,0.08966559998225421,9.425195900024846,0.1122369000222534,0.0007968000136315823,9.627903699991293,False
pdf_only,43,0.16114740003831685,11.04607899999246,0.1736128000775352,0.0007948999991640449,11.381642600055784,False
pdf_only,44,0.08634999999776483,8.473930799984373,0.13467399997171015,0.000813000020571053,8.695778000052087,False
pdf_only,45,0.09433530003298074,8.816533499979414,0.11420780001208186,0.0011193999089300632,9.026204599998891,False
pdf_only,46,0.08498139993753284,11.571861900039949,0.13768349995370954,0.0008196999551728368,11.795354899950325,False
pdf_only,47,0.09801469999365509,10.019105199957266,0.10614389996044338,0.0008431000169366598,10.224119500024244,False
pdf_only,48,0.06449300004169345,8.000301900086924,0.11442670004907995,0.0008229999803006649,8.180052699986845,False
pdf_only,49,0.0984523999504745,8.643735200050287,0.15977979998569936,0.0009676999179646373,8.902944899979047,False
pdf_only_keep,0,0.28325340000446886,11.555577100021765,0.10263019998092204,0.0012197999749332666,11.942694900091738,True
pdf_only_keep,1,0.10106359992641956,9.71933320001699,0.12327440001536161,0.00046419992577284575,9.944145099958405,True
pdf_only_keep,2,0.08796660008374602,8.154106299974956,0.1219823999563232,0.00023340003099292517,8.364299300010316,True
pdf_only_keep,3,0.10589000000618398,9.0206804999616,0.151751899975352,0.00038320000749081373,9.27871620003134,True
pdf_only_keep,4,0.10600480006542057,8.059116800082847,0.13421599997673184,0.0003749999450519681,8.299720300012268,True
pdf_only_keep,5,0.09748070000205189,8.364027000032365,0.11461639998015016,0.00037530006375163794,8.576507399906404,True
pdf_only_keep,6,0.07939600001554936,7.859153000055812,0.13145919993985444,0.0003765999572351575,8.070393099915236,True
pdf_only_keep,7,0.09746969991829246,8.753642700030468,0.14810670004226267,0.000528500066138804,8.999754999997094,True
pdf_only_keep,8,0.09100969997234643,10.2396035999991,0.135920999920927,0.00038810004480183125,10.46692819998134,True
pdf_only_keep,9,0.09341899992432445,8.448011600063182,0.14338379993569106,0.0005000999663025141,8.685321899945848,True

mode,n_rows,batch_total_s,word_launches
docx_only,10,0.5554162000771612,0
docx_only,50,3.000840099994093,0
old_docx_plus_pdf,10,105.72105900000315,10
old_docx_plus_pdf,50,479.299284699955,50
pdf_only,10,92.31080489989836,10
pdf_only,50,500.5990670999745,50
pdf_only_keep,10,92.64194979995955,10
